timepoints (min);16: frq7+.1;17: frq7+.2;18: frq7+.3;19: frq1-.2;20: frq1-.3;;21: frq7-.1;22: frq7-.2;23: frq7-.3;24: frq9+.1;25: frq9+.2;26: frq9+.3;27: frq10+.1;28: frq10+.2;29: frq10+.3
7710;44.19;-23.69;0.258;330.95;284.063;;-107.782;-22.717;24.277;190.888;186.087;259.099;-14.239;18.277;100.194
7720;52.4;-9.306;14.172;323.487;271.826;;-103.738;-17.079;39.141;193.782;183.757;256.837;-13.924;16.01;98.247
7730;61.713;3.873;26.407;311.674;259.004;;-98.324;-11.406;53.346;196.727;180.468;253.655;-13.894;14.872;95.15
7740;73.298;17.015;39.669;299.862;244.447;;-92.593;-8.084;67.586;198.099;177.502;250.77;-13.739;13.734;92.934
7750;81.829;30.137;52.828;285.37;229.636;;-85.502;-4.632;82.014;199.97;172.164;245.65;-14.49;10.993;90.556
7760;88.335;44.777;64.026;270.995;213.239;;-78.259;-0.328;96.49;200.623;166.895;240.53;-15.24;8.052;88.738
7770;92.439;60.086;76.223;252.819;196.555;;-70.777;6.252;110.017;201.497;160.418;235.819;-15.077;5.832;86.444
7780;96.611;75.277;87.971;234.727;179.199;;-63.308;13.407;123.592;201.63;154.099;231.109;-14.914;3.57;84.27
7790;103.047;90.246;100.959;214.115;161.137;;-56.199;18.097;135.79;202.592;149.234;225.466;-14.877;1.748;81.308
7800;108.317;106.607;113.774;193.44;143.55;;-47.836;22.869;147.948;203.033;144.68;219.823;-15.04;1.226;79.248
7810;115.257;123.01;126.499;176.206;125.204;;-39.673;32.229;161.996;204.466;140.505;212.738;-15.348;-1.055;76.753
7820;122.728;138.68;138.934;158.957;108.357;;-28.108;41.458;176.099;205.854;136.606;205.652;-15.938;-3.066;75.037
7830;130.334;155.95;151.265;143.123;90.59;;-17.152;52.102;191.513;207.255;132.875;198.179;-16.528;-4.59;72.577
7840;137.64;172.091;164.636;127.295;74.229;;-1.982;62.953;206.968;208.728;129.474;190.706;-16.952;-6.301;70.585
7850;146.389;188.763;178.494;111.308;56.588;;11.983;73.924;222.339;208.916;125.188;180.077;-16.775;-9.783;68.59
7860;155.193;205.834;192.51;95.279;40.721;;26.731;84.985;237.71;209.103;121.108;169.448;-16.909;-12.852;67.433
7870;165.305;221.819;208.407;80.36;23.975;;41.582;98.046;253.752;208.281;117.647;162.794;-16.523;-16.516;66.966
7880;175.919;236.455;225.288;66.499;8.059;;54.901;111.065;270.513;207.659;114.265;156.141;-16.137;-19.796;64.883
7890;188.792;251.051;242.121;50.905;-7.697;;68.268;126.724;286.459;207.03;111.783;148.058;-16.048;-21.396;62.345
7900;201.109;263.858;257.314;36.658;-19.175;;81.131;142.815;304.245;205.561;109.079;140.975;-15.96;-22.549;59.114
7910;211.819;273.251;272.528;18.428;-30.774;;93.981;158.386;318.75;204.127;105.486;135.434;-15.946;-23.702;53.501
7920;224.039;285.168;286.189;2.021;-39.681;;109.913;174.385;334.735;201.092;101.115;130.148;-16.252;-20.796;47.655
7930;236.026;298.301;297.834;-15.011;-49.269;;125.88;189.001;347.865;198.141;95.957;124.17;-16.439;-17.89;41.801
7940;247.386;311.677;309.473;-29.443;-56.379;;143.447;203.234;360.474;194.189;90.68;119.172;-16.705;-15.583;34.935
7950;260.258;323.761;320.389;-43.792;-63.97;;161.11;216.35;371.532;190.223;84.568;113.323;-16.971;-13.001;29.926
7960;271.532;337.869;329.368;-55.621;-70.044;;179.494;226.96;379.622;184.181;78.697;107.193;-16.023;-10.139;25.418
7970;282.883;352.217;338.375;-67.401;-76.079;;197.939;236.754;387.698;178.338;71.639;100.07;-15.076;-7.145;19.897
7980;293.706;368.36;347.022;-74.593;-81.43;;216.625;244.869;393.152;170.932;65.381;94.274;-13.817;-5.31;17.153
7990;302.612;383.371;355.095;-81.668;-86.782;;235.31;254.106;398.668;163.837;58.494;86.286;-13.597;-1.67;14.589
8000;312.348;397.422;363.141;-86.786;-91.902;;253.076;263.983;402.644;155.262;54.047;80.418;-12.91;2.29;11.946
8010;323.775;409.525;371.186;-91.794;-96.967;;271.159;272.828;402.463;145.029;48.811;75.953;-12.383;6.663;9.421
8020;336.788;420.061;377.274;-95.087;-101.755;;288.921;277.232;403.799;134.673;45.255;70.901;-12.137;12.556;2.895
8030;348.623;431.432;383.252;-98.193;-106.487;;306.775;281.76;399.826;124.017;42.648;66.251;-11.869;18.772;-3.692
8040;359.052;442.501;388.23;-99.938;-109.634;;324.581;285.528;395.401;112.16;40.188;62.379;-10.921;23.114;-9.12
8050;369.53;451.796;393.429;-101.448;-113.148;;341.434;285.859;388.426;100.759;37.063;59.228;-9.753;26.825;-14.499
8060;377.764;460.258;397.897;-105.109;-115.476;;358.399;282.83;379.276;89.041;33.177;54.439;-8.625;29.775;-20.639
8070;383.713;467.746;402.513;-108.659;-117.859;;372.239;276.556;366.727;78.061;29.531;50.043;-7.199;32.041;-26.874
8080;389.828;473.545;407.047;-112.702;-119.516;;386.079;270.441;352.658;67.28;23.877;43.415;-5.932;34.308;-33.79
8090;395.88;480.212;408.048;-115.873;-121.11;;395.868;262.724;338.819;55.822;18.203;37.139;-4.701;37.341;-40.83
8100;400.832;485.92;405.851;-118.319;-121.85;;405.684;254.103;323.501;45.484;12.539;32.694;-4.228;41.694;-48.11
8110;402.84;490.196;403.868;-121.804;-122.444;;410.181;244.196;306.633;32.648;6.876;28.738;-3.154;45.753;-55.473
8120;402.006;493.989;398.404;-126.366;-122.217;;414.774;231.001;288.406;18.812;-0.444;21.033;-2.539;49.91;-61.996
8130;401.288;496.102;389.418;-131.327;-121.83;;418.487;217.014;269.465;5.997;-7.764;13.108;-0.924;54.068;-68.512
8140;395.771;494.535;380.301;-134.492;-121.146;;422.09;201.01;249.364;-8.328;-17.661;5.895;0.811;54.048;-73.601
8150;384.192;492.407;368.663;-136.663;-120.628;;424.132;184.145;227.285;-21.137;-27.557;-1.497;2.528;54.029;-78.643
8160;372.612;486.985;356.95;-134.423;-120.523;;426.092;167.19;206.207;-35.142;-35.76;-10.833;4.308;51.088;-81.699
8170;357.443;477.101;342.673;-132.961;-120.494;;420.492;150.676;183.607;-48.268;-43.963;-19.977;6.448;45.228;-84.928
8180;341.703;462.298;326.59;-130.612;-120.034;;414.975;134.168;161.287;-61.691;-50.832;-29.212;7.109;38.963;-87.396
8190;319.869;447.513;310.577;-128.905;-119.676;;403.538;118.141;139.625;-74.719;-57.701;-38.628;7.912;33.848;-88.81
