timepoints (min);31: frq9-.1;32: frq9-.2;33: frq9-.3;34: frq10-.1;35: frq10-.2;36: frq10-.3;37: wc-1+.1;38: wc-1+.2;39: wc-1+.3;40: wc-2+.1;41: wc-2+.2;42: wc-2+.3;43: wc-1-.1;44: wc-1-.2;45: wc-1-.3
1850;-27.604;-29.392;-78.161;1.261;39.56;5.476;-76.561;-32.363;-27.862;2.33;-20.281;35.686;-22.041;-4.381;-25.793
1860;-29.446;-29.614;-77.47;1.83;40.636;6.532;-81.004;-35.859;-29.308;3.348;-20.916;34.229;-22.567;-4.186;-28.462
1870;-31.909;-30.422;-77.179;2.4;40.36;7.597;-84.029;-39.192;-31.331;4.366;-21.55;32.054;-22.204;-4.319;-30.983
1880;-34.572;-31.23;-77.975;2.234;40.229;6.742;-85.857;-42.668;-33.396;5.103;-21.585;29.879;-21.869;-4.862;-34.672
1890;-37.581;-31.917;-78.771;2.283;38.672;6.039;-87.96;-46.103;-35.501;5.841;-21.619;27.655;-21.186;-6.194;-39.052
1900;-41.549;-31.164;-78.557;2.276;37.115;5.895;-90.803;-49.908;-37.923;4.81;-21.295;26.452;-20.265;-6.887;-43.55
1910;-45.49;-30.446;-77.983;2.269;35.982;5.828;-94.145;-53.305;-40.905;3.778;-20.971;25.09;-19.263;-8.575;-43.771
1920;-49.51;-29.727;-76.996;2.241;35.353;7.596;-97.852;-55.974;-44.178;2.746;-21.287;23.727;-18.686;-9.13;-44.371
1930;-53.411;-29.338;-76.208;2.134;34.89;8.884;-101.75;-59.523;-47.68;1.873;-21.603;22.364;-18.16;-9.815;-42.759
1940;-56.701;-28.829;-75.076;1.674;35.306;10.869;-106.094;-62.793;-51.168;1;-21.72;21.901;-17.754;-10.963;-41.339
1950;-59.79;-28.32;-73.943;0.912;35.564;10.254;-110.52;-65.905;-54.615;-0.561;-21.837;21.437;-17.473;-12.679;-43.302
1960;-62.756;-27.218;-73.099;0.149;37.502;9.549;-115.003;-68.903;-57.981;-2.123;-21.858;20.974;-17.03;-15.999;-45.154
1970;-65.641;-26.964;-75.641;0.748;39.062;9.884;-119.476;-71.942;-61.666;-3.804;-21.639;18.51;-16.881;-20.542;-50.103
1980;-68.548;-26.521;-78.108;0.546;40.374;10.095;-122.829;-75.499;-65.651;-5.486;-21.419;16.767;-16.159;-25.659;-56.215
1990;-71.654;-26.079;-80.334;-0.051;38.601;10.146;-126.319;-78.69;-69.676;-5.727;-21.877;15.023;-16.212;-30.407;-58.655
2000;-73.96;-26.881;-82.581;-0.648;36.829;9.437;-130.353;-81.928;-74.159;-5.761;-22.335;13.356;-16.746;-34.594;-60.408
2010;-76.025;-27.836;-84.828;-1.768;33.392;9.388;-133.668;-84.716;-78.726;-5.637;-22.793;10.914;-17.294;-38.61;-57.967
2020;-77.41;-28.917;-85.881;-2.888;28.054;8.658;-135.963;-87.382;-83.24;-5.513;-21.73;8.473;-17.903;-46.116;-56.408
2030;-79.098;-29.999;-87.935;-3.782;22.89;8.052;-138.196;-90.401;-87.941;-5.389;-20.666;5.512;-19.033;-53.033;-53.701
2040;-80.339;-30.924;-88.931;-4.421;17.726;7.207;-140.509;-92.553;-92.606;-5.233;-19.575;2.55;-20.218;-57.012;-51.341
2050;-81.604;-31.946;-89.927;-4.743;11.232;6.444;-142.186;-95.252;-96.67;-4.997;-18.604;-0.545;-21.454;-60.964;-51.01
2060;-81.036;-34.367;-91.952;-5.066;5.258;4.081;-144.188;-97.946;-101.164;-4.761;-17.633;-3.723;-22.655;-61.83;-50.555
2070;-81.468;-36.788;-93.749;-6.614;0.583;1.774;-146.512;-101.11;-105.738;-4.526;-16.702;-6.901;-22.647;-63.785;-48.661
2080;-81.342;-38.091;-93.523;-8.189;-3.774;-0.543;-148.966;-104.709;-110.513;-4.29;-15.73;-8.276;-22.248;-66.25;-46.713
2090;-81.217;-39.381;-93.697;-9.738;-5.891;-0.981;-151.219;-108.266;-115.748;-4.575;-14.757;-10.411;-23.01;-67.621;-44.295
2100;-81.814;-38.95;-91.572;-11.48;-7.891;-1.259;-153.821;-111.538;-120.382;-4.861;-13.785;-12.546;-23.579;-68.872;-43.239
2110;-81.961;-39.189;-89.448;-13.382;-9.891;-1.898;-156.386;-114.08;-124.81;-5.146;-12.772;-14.84;-24.614;-69.978;-39.967
2120;-81.509;-39.428;-87.164;-15.939;-11.146;-2.709;-159.212;-116.563;-128.113;-5.432;-12.92;-17.135;-25.835;-70.761;-37.848
2130;-81.022;-40.484;-84.559;-16.545;-11.761;-3.32;-161.846;-118.829;-131.417;-5.877;-12.999;-19.43;-27.121;-72.604;-36.423
2140;-80.535;-42.021;-85.353;-17.499;-12.383;-4.034;-164.186;-121.092;-134.466;-6.323;-13.077;-22.206;-28.364;-74.007;-35.334
2150;-79.337;-45.97;-86.272;-18.454;-12.837;-5.942;-166.33;-123.425;-137.676;-6.768;-13.156;-24.767;-29.462;-75.272;-33.877
2160;-78.359;-49.919;-88.27;-19.138;-13.378;-7.774;-168.592;-125.575;-140.594;-7.103;-12.154;-27.328;-31.538;-75.291;-35.516
2170;-76.593;-50.916;-89.931;-19.822;-15.639;-9.585;-171.052;-127.767;-143.461;-7.439;-10.513;-29.897;-32.503;-74.07;-38.513
2180;-75.065;-51.446;-90.392;-19.83;-17.672;-10.836;-173.081;-129.436;-146.527;-7.843;-8.899;-32.465;-33.265;-72.657;-41.334
2190;-70.021;-53.52;-90.832;-19.839;-19.865;-12.011;-174.175;-131.359;-149.455;-8.247;-7.279;-35.142;-33.465;-69.906;-45.497
2200;-65.177;-55.594;-90.701;-19.847;-21.423;-9.706;-175.524;-133.441;-152.796;-8.651;-5.658;-37.899;-34.465;-66.463;-44.356
2210;-60.27;-53.303;-90.101;-19.855;-22.982;-7.429;-176.953;-134.717;-155.979;-8.855;-2.237;-40.657;-35.479;-63.621;-41.927
2220;-51.132;-50.33;-84.621;-21.712;-25.168;-7.279;-178.172;-135.723;-159.091;-8.939;0.943;-41.662;-36.563;-59.617;-36.172
2230;-41.815;-46.796;-78.761;-23.872;-27.354;-7.108;-179.385;-136.728;-162.291;-9.065;4.083;-42.516;-36.833;-55.357;-27.786
2240;-30.567;-42.297;-70.702;-25.352;-27.837;-7.859;-180.206;-137.804;-165.223;-9.225;7.222;-43.37;-36.692;-50.341;-22.607
2250;-20.119;-36.957;-62.953;-25.608;-28.251;-7.803;-180.674;-138.513;-168.305;-9.385;10.203;-44.223;-36.892;-45.412;-17.617
2260;-9.388;-31.687;-55.444;-25.225;-25.577;-7.719;-180.663;-139.114;-171.066;-9.545;12.703;-43.823;-38.052;-40.091;-18.015
2270;-0.257;-25.937;-49.328;-25.181;-22.902;-7.314;-179.571;-138.96;-174.106;-9.581;13.683;-43.423;-39.006;-33.775;-14.635
2280;8.785;-19.884;-38.252;-26.417;-21.651;-6.917;-178.727;-136.619;-175.719;-9.617;14.662;-42.469;-39.669;-28.252;-14.96
2290;17.621;-13.912;-28.483;-28.192;-20.476;-6.539;-176.443;-135.098;-174.437;-8.732;15.641;-42.356;-39.212;-24.792;-14.81
2300;26.183;-9.366;-20.629;-30.207;-20.072;-6.203;-173.861;-132.294;-173.521;-7.928;16.621;-42.243;-38.879;-21.724;-11.992
2310;34.705;-4.419;-14.2;-31.327;-19.647;-4.927;-171.458;-129.014;-171.596;-7.124;16.549;-42.13;-37.708;-20.777;-7.486
2320;44.106;0.552;-11.411;-31.567;-19.996;-3.734;-169.768;-125.327;-169.501;-6.265;16.531;-42.177;-37.33;-18.368;-6.017
2330;53.183;4.123;-10.328;-31.098;-20.345;-2.444;-168.099;-119.665;-168.29;-5.406;16.513;-42.313;-37.294;-14.778;-6.84
2340;62.421;10.012;-4.926;-30.469;-17.934;-3.239;-166.123;-112.683;-166.799;-4.546;16.495;-41.697;-37.174;-12.23;-7.607
