timepoints (min);31: frq9-.1;32: frq9-.2;33: frq9-.3;34: frq10-.1;35: frq10-.2;36: frq10-.3;37: wc-1+.1;38: wc-2+.1;39: wc-2+.2;40: wc-2+.3;41: wc-1-.1;42: wc-1-.2;43: wc-1-.3;44: wc-2-.1;45: wc-2-.2
2310;38.913;32.575;20.331;-0.097;-15.806;-0.625;-0.196;-4.847;-22.237;-11.377;13.125;-22.695;-14.065;-53.023;-34.971
2320;39.761;37.695;23.792;-1.385;-16.782;0.374;3.277;-3.349;-20.217;-13.263;11.135;-23.29;-13.939;-50.455;-36.24
2330;39.159;42.995;28.452;-0.848;-16.299;0.91;6.953;-2.251;-18.099;-15.219;9.657;-22.786;-13.543;-48.073;-37.982
2340;42.091;48.066;33.03;1.421;-13.881;1.128;10.637;-1.258;-14.982;-17.175;8.604;-22.705;-12.782;-47.11;-39.724
2350;47.306;53.578;37.448;1.626;-12.21;1.559;14.189;-0.327;-12.25;-19.131;8.397;-22.84;-12.119;-46.148;-41.611
2360;53.85;59.2;40.432;3.876;-11.041;1.848;18.007;1.164;-9.483;-20.647;9.657;-22.961;-11.321;-45.206;-41.618
2370;59.735;65.302;44.174;6.099;-10.778;2;21.548;2.415;-6.756;-22.163;9.815;-22.88;-10.44;-44.263;-42.121
2380;67.621;71.452;47.367;9.08;-10.804;2.608;24.566;3.839;-4.029;-23.561;8.908;-22.403;-9.612;-41.847;-42.625
2390;68.269;74.843;50.28;11.432;-7.316;3.466;27.539;4.742;-2.657;-24.96;8.599;-21.43;-9.313;-39.389;-43.252
2400;68.517;78.295;52.985;14.611;-4.463;4.361;30.953;5.125;-1.855;-26.359;9.135;-19.844;-9.126;-36.931;-44.017
2410;67.368;80.862;54.161;17.91;-3.458;5.054;33.931;5.288;-1.054;-28.997;9.175;-17.658;-9.291;-34.931;-44.781
2420;64.699;83.526;53.812;21.537;-2.484;5.302;37.153;5.811;-0.532;-31.996;9.68;-16.891;-9.982;-32.876;-45.545
2430;62.829;86.134;50.742;26.36;-2.378;4.932;40.749;5.694;0.229;-35.008;9.156;-16.094;-9.941;-30.821;-44.603
2440;59.759;89.382;46.615;29.334;-1.661;4.243;43.823;5.549;0.99;-38.021;7.109;-15.37;-8.96;-30.446;-43.261
2450;54.966;92.892;42.978;32.789;-0.819;3.237;46.614;6.139;2.472;-41.033;4.672;-14.877;-7.884;-30.312;-41.919
2460;48.132;96.803;42.981;38.178;-0.789;1.858;48.859;6.65;3.926;-45.326;1.814;-15.017;-7.625;-30.178;-40.59
2470;42.211;101.023;42.101;40.931;-1.43;0.459;50.702;7.263;5.419;-48.585;-0.761;-15.779;-6.688;-29.564;-39.781
2480;37.89;104.495;41.439;28.985;-2.257;-0.852;52.581;7.938;6.913;-51.844;-3.946;-16.134;-6.048;-28.95;-38.971
2490;34.262;108.022;40.512;15.999;-2.419;-2.139;55.059;9.292;7.967;-54.959;-6.625;-16.128;-4.917;-28.778;-38.161
2500;28.8;111.701;37.47;14.75;-0.764;-3.908;57.621;10.599;8.034;-58.073;-8.309;-15.371;-4.665;-27.005;-34.35
2510;23.51;111.132;34.836;15.498;0.932;-4.898;60.085;11.756;8.102;-59.348;-10.803;-14.568;-4.527;-25.233;-30.594
2520;15.658;110.206;32.458;19.417;3.09;-4.949;61.851;11.233;7.61;-59.622;-13.401;-14.124;-4.633;-23.537;-26.839
2530;11.178;108.999;30.546;23.637;4.865;-4.905;63.01;10.71;7.48;-59.897;-15.731;-12.513;-3.837;-21.92;-22.814
2540;8.182;107.895;28.931;24.728;7.225;-5.097;63.481;10.228;7.35;-60.599;-18.141;-10.574;-1.895;-20.303;-21.869
