timepoints (min);01: bdA+.1;02: bdA+.2;03: bdA+.3;04: crybdIm1+.1;05: crybdIm1+.2;;06: bdA-.1;07: bdA-.2;08: bdA-.3;09: crybdIm1-.1;10: crybdIm1-.2;11: crybdIm1-.3;12: frq1+.1;13: frq1+.2;14: frq1+.3
3190;195.139;330.938;288.898;-143.599;-48.332;;40.223;31.123;25.137;91.612;275.943;302.995;-218.925;-293.938;-263.637
3200;192.761;318.932;282.931;-145.96;-48.047;;35.771;24.469;12.294;83.432;272.251;296.134;-216.611;-289.639;-265.861
3210;189.961;305.137;275.178;-148.666;-47.761;;31.319;18.211;4.406;73.766;269.643;286.888;-212.8;-282.131;-267.608
3220;186.203;288.783;266.283;-151.372;-47.761;;33.356;13.593;-3.483;64.099;264.714;276.734;-207.539;-272.977;-269.27
3230;182.866;270.543;256.588;-152.999;-47.886;;34.639;11.226;-9.087;54.433;257.377;265.855;-201.026;-262.931;-271.15
3240;179.64;251.379;245.968;-154.156;-47.527;;37.281;8.47;-14.865;45.001;252.932;252.887;-193.426;-253.028;-271.37
3250;175.673;230.054;233.668;-154.273;-47.178;;39.206;8.363;-20.643;35.57;246.852;239.137;-183.611;-242.266;-269.563
3260;171.174;208.563;221.927;-154.39;-46.65;;40.178;8.372;-27.087;28.942;241.28;225.836;-173.782;-229.801;-266.463
3270;168.131;185.149;212.743;-153.332;-46.327;;41.11;9.193;-31.487;22.314;234.628;212.967;-162.658;-216.665;-261.229
3280;168.535;160.614;204.098;-150.09;-46.018;;40.083;11.986;-37.263;15.687;227.688;200.181;-151.117;-201.469;-253.641
3290;169.775;136.043;195.821;-146.847;-45.825;;37.455;12.683;-39.426;10.452;215.55;184.134;-139.07;-186.44;-245.822
3300;172.421;114.538;186.261;-143.604;-45.632;;35.448;13.459;-41.41;5.218;201.252;167.937;-124.712;-171.23;-235.483
3310;175.381;94.065;177.661;-139.114;-45.313;;33.178;14.195;-42.234;-1.571;188.655;151.781;-109.076;-156.194;-222.935
3320;177.88;73.419;170.393;-134.389;-45.188;;33.908;12.728;-42.699;-8.36;177.524;136.443;-92.854;-141.117;-210.12
3330;177.185;52.47;163.516;-129.663;-45.516;;35.841;10.121;-43.164;-15.149;164.119;121.665;-75.508;-126.183;-196.596
3340;175.742;32.502;156.279;-124.938;-46.403;;34.892;7.452;-43.964;-21.341;152.446;106.542;-58.316;-109.364;-181.647
3350;172.855;13.606;150.006;-120.182;-47.476;;33.943;5.848;-44.057;-27.532;141.892;93.353;-39.868;-91.497;-165.222
3360;169.102;-5.414;146.892;-115.048;-49.048;;31.212;4.141;-44.466;-31.917;131.583;79.796;-21.123;-74.174;-148.617
3370;164.68;-24.894;144.931;-109.914;-50.6;;28.458;1.974;-42.548;-36.302;120.419;67.85;-3.978;-56.261;-130.167
3380;160.818;-42.524;142.862;-103.923;-52.193;;25.703;1.167;-41.965;-40.687;108.335;56.026;13.491;-37.48;-109.964
