timepoints (min);01: bdA+.1;02: bdA+.2;03: bdA+.3;04: crybdIm1+.1;05: crybdIm1+.2;06: crybdIm1+.3;07: bdA-.1;08: bdA-.2;09: bdA-.3;10: crybdIm1-.1;11: crybdIm1-.2;12: crybdIm1-.3;13: frq1+.1;14: frq1+.2;15: frq1+.3
8210;-135.614;-245.335;-187.658;-214.731;-222.308;-184.906;-83.44;-191.916;-143.008;-132.033;-177.007;-132.905;-315.446;-228.799;-295.85
8220;-132.886;-244.697;-186.993;-213.128;-221.548;-183.134;-83.53;-191.204;-142.23;-131.319;-175.517;-133.088;-312.96;-229.168;-295.297
8230;-130.308;-243.327;-186.404;-211.092;-220.732;-180.908;-83.461;-190.778;-142.519;-130.501;-174.874;-133.059;-309.906;-229.272;-294.618
8240;-127.794;-241.948;-185.338;-208.443;-219.839;-178.177;-83.265;-190.519;-142.914;-129.812;-175.597;-132.988;-306.832;-229.612;-294.141
8250;-125.146;-240.519;-183.521;-205.35;-218.756;-174.648;-82.931;-190.204;-142.977;-128.538;-176.343;-131.924;-303.148;-229.56;-293.417
8260;-122.665;-238.579;-181.788;-202.339;-217.621;-170.072;-82.679;-189.84;-142.594;-128.059;-176.93;-131.108;-299.301;-229.292;-291.742
8270;-119.983;-236.377;-179.434;-199.251;-216.577;-165.059;-83.88;-189.04;-142.782;-127.73;-176.16;-130.108;-295.794;-228.604;-289.284
8280;-116.902;-233.276;-176.268;-196.149;-215.425;-160.258;-84.972;-188.163;-142.87;-127.428;-174.785;-130.513;-291.106;-227.411;-286.848
8290;-113.357;-228.564;-172.909;-193.063;-214.109;-155.281;-86.284;-186.614;-141.912;-126.521;-173.226;-130.546;-285.673;-225.662;-285.105
8300;-109.774;-223.006;-170.011;-189.556;-212.608;-150.676;-87.606;-185.44;-141.083;-125.804;-171.618;-130.681;-280.204;-222.982;-282.942
8310;-106.339;-217.804;-167.033;-185.84;-211.323;-146.655;-88.661;-185.182;-140.338;-125.767;-169.596;-130.45;-273.35;-219.568;-279.443
8320;-102.695;-212.928;-164.248;-182.059;-209.634;-142.892;-90.346;-185.436;-140.113;-125.21;-167.713;-129.79;-266.572;-216.109;-276.479
8330;-98.742;-207.385;-161.806;-178.127;-208.124;-139.557;-92.142;-185.241;-139.669;-124.163;-165.583;-128.574;-259.681;-212.12;-273.341
8340;-94.81;-202.283;-159.514;-173.575;-205.92;-135.93;-94.508;-185.207;-139.295;-122.528;-164.019;-127.881;-252.625;-207.614;-269.241
8350;-90.556;-197.284;-156.721;-168.97;-203.648;-132.68;-97.393;-185.074;-139.174;-121.545;-163.658;-127.332;-246.182;-203.29;-264.737
8360;-87.11;-192.313;-153.866;-164.641;-201.392;-129.452;-100.754;-184.906;-138.848;-120.749;-163.941;-126.657;-239.905;-199.172;-260.015
8370;-84.892;-186.494;-150.734;-160.469;-199.11;-126.103;-104.822;-183.472;-138.12;-120.331;-164.212;-125.328;-234.234;-194.527;-255.11
8380;-83.225;-180.33;-147.445;-157.077;-196.949;-122.681;-108.739;-181.872;-136.388;-120.099;-164.241;-123.517;-227.822;-189.432;-250.459
8390;-81.586;-174.032;-144.13;-154.306;-194.443;-119.189;-113.239;-180.222;-135.076;-120.764;-163.949;-122.317;-221.335;-183.603;-246.778
8400;-79.857;-167.25;-140.869;-150.943;-191.6;-115.909;-117.956;-178.739;-133.996;-121.484;-163.414;-121.048;-213.927;-176.85;-242.163
8410;-78.186;-161.681;-137.881;-146.76;-188.567;-112.948;-122.923;-177.505;-131.622;-122.21;-162.604;-119.352;-205.076;-171.199;-236.032
8420;-76.865;-157.113;-134.703;-142.914;-185.206;-110.012;-127.305;-176.244;-129.332;-122.73;-162.046;-117.393;-196.101;-165.498;-229.048
8430;-75.886;-151.586;-131.254;-139.047;-181.254;-107.011;-131.87;-175.593;-126.702;-123.25;-161.342;-115.895;-185.629;-159.683;-221.746
8440;-74.309;-145.017;-127.888;-133.921;-177.974;-104.25;-135.754;-174.539;-124.132;-121.761;-159.932;-115.262;-173.953;-153.37;-214.291
8450;-73.354;-138.868;-123.705;-126.483;-175.321;-101.857;-139.415;-173.655;-121.968;-119.234;-159.312;-113.6;-162.52;-146.247;-207.011
8460;-72.721;-131.949;-119.212;-117.836;-173.047;-99.025;-142.099;-173.881;-119.926;-117.65;-159.163;-112.021;-151.556;-139.465;-199.195
8470;-71.808;-125.121;-116.048;-109.183;-171.313;-96.709;-143.986;-173.557;-117.68;-116.193;-159.641;-109.806;-140.414;-133.417;-189.855
8480;-70.662;-119.643;-113.537;-100.952;-170.192;-95.069;-145.233;-173.011;-115.252;-114.861;-159.932;-107.541;-129.244;-127.261;-182.657
8490;-70.143;-114.33;-111.108;-93.617;-168.932;-93.767;-145.732;-172.31;-112.763;-112.846;-159.059;-106;-117.277;-119.72;-174.815
8500;-70.236;-108.994;-109.097;-87.586;-168.257;-93.788;-146.619;-171.121;-110.47;-111.303;-158.028;-104.514;-105.477;-112.588;-167.566
8510;-69.981;-103.47;-107.774;-81.79;-167.637;-94.77;-147.303;-169.48;-108.79;-107.366;-157.272;-103.465;-93.659;-105.988;-161.291
8520;-70.172;-98.182;-106.203;-75.757;-166.799;-95.422;-147.686;-164.399;-107.368;-104.292;-157.421;-102.399;-80.419;-99.812;-155.211
8530;-70.524;-93.637;-104.451;-70.079;-166.059;-95.396;-148.788;-160.597;-106.436;-101.288;-157.09;-101.112;-66.092;-93.69;-149.735
8540;-70.377;-90.142;-101.571;-64.284;-164.319;-94.764;-150.48;-156.661;-105.644;-99.724;-156.172;-99.666;-52.806;-86.862;-143.837
8550;-69.168;-86.407;-98.492;-58.559;-161.27;-94.549;-152.291;-151.172;-105.163;-98.574;-155.328;-97.29;-37.786;-80.148;-137.548
8560;-67.695;-81.55;-95.996;-53.632;-157.279;-93.629;-154.433;-145.708;-104.43;-97.619;-154.775;-94.094;-23.434;-74.308;-131.559
8570;-66.061;-75.872;-93.099;-48.603;-152.968;-91.537;-155.575;-140.926;-102.812;-97.486;-153.128;-91.018;-9.499;-67.516;-124.57
8580;-64.354;-68.99;-89.643;-43.701;-148.004;-89.112;-155.95;-136.143;-100.571;-97.434;-150.785;-88.366;3.371;-59.814;-116.857
8590;-62.599;-59.777;-86.12;-39.221;-142.394;-86.534;-154.014;-131.142;-97.93;-97.127;-147.968;-84.626;15.953;-51.178;-108.505
8600;-61.419;-50.811;-83.181;-33.68;-137.014;-82.218;-152.001;-125.033;-95.142;-95.39;-144.428;-81.974;29.988;-41.474;-99.83
8610;-60.346;-42.726;-80.48;-27.273;-130.978;-76.288;-148.11;-117.476;-91.414;-93.036;-140.062;-79.855;45.448;-29.847;-89.262
8620;-58.164;-33.466;-79.097;-21.269;-125.163;-70.542;-144.811;-108.143;-87.688;-90.461;-134.895;-78.137;63.084;-18.123;-77.305
8630;-54.817;-23.043;-77.411;-14.523;-119.108;-64.891;-141.567;-98.88;-84.097;-87.796;-130.291;-76.192;81.698;-6.338;-65.709
8640;-51.473;-11.928;-73.96;-6.654;-112.63;-59.396;-137.843;-86.68;-79.266;-85.211;-126.13;-73.673;100.717;6.651;-53.079
8650;-47.332;-0.237;-69.374;0.469;-105.017;-52;-132.822;-72.257;-74.236;-82.67;-119.75;-71.389;120.313;18.622;-40.825
