timepoints (min);46: wc-2,- -1;47: wc-2,- -2;48: wc-2,- -3
6820;40.839;-15.577;-39.006
6830;35.684;-13.869;-37.954
6840;30.392;-17.148;-35.663
6850;26.979;-20.171;-32.543
6860;24.153;-23.794;-28.423
6870;21.327;-27.177;-24.724
6880;18.588;-33.239;-20.081
6890;15.848;-39.721;-15.756
6900;13.545;-43.164;-15.257
6910;10.828;-46.724;-12.272
6920;8.269;-47.106;-11.887
6930;5.71;-47.543;-11.804
6940;1.672;-48.366;-12.041
6950;-2.367;-49.243;-13.248
6960;-6.166;-50.24;-13.708
6970;-9.943;-51.582;-15.167
6980;-11.201;-51.844;-17.273
6990;-12.777;-52.189;-20.219
7000;-13.67;-48.663;-23.339
7010;-14.716;-45.041;-26.739
7020;-18.081;-39.811;-28.625
7030;-21.474;-36.887;-28.473
7040;-19.948;-35.51;-28.066
7050;-18.048;-38.56;-27.548
7060;-18.589;-41.492;-26.005
7070;-19.006;-44.026;-25.223
7080;-18.429;-44.077;-22.87
7090;-17.756;-39.528;-21.35
7100;-18.243;-35.778;-20.003
7110;-17.723;-35.188;-19.71
7120;-17.203;-38.208;-20.189
7130;-15.691;-39.669;-20.491
7140;-14.262;-40.767;-20.513
7150;-12.452;-42.727;-18.983
7160;-10.643;-42.295;-18.134
7170;-8.036;-41.763;-18.737
7180;-5.429;-40.537;-19.299
7190;-2.039;-36.99;-20.676
7200;1.159;-32.537;-21.455
7210;5.356;-28.643;-20.847
7220;8.829;-25.211;-19.314
7230;9.342;-24.139;-19.163
7240;9.952;-23.054;-18.13
7250;8.09;-19.968;-15.537
7260;6.586;-16.503;-12.712
7270;8.061;-11.519;-7.207
7280;9.625;-6.803;-0.848
7290;9.163;-2.687;7.99
7300;8.383;0.698;18.326
7310;10.364;7.043;27.541
7320;12.069;13.698;34.527
7330;12.745;19.153;39.673
7340;11.337;26.008;40.663
7350;10.149;26.223;41.957
7360;7.088;27.514;41.792
7370;4.421;30.206;42.687
7380;3.73;32.559;44.662
7390;3.211;33.112;45.909
7400;1.846;34.106;50.316
7410;0.618;32.741;52.428
7420;-3.221;30.775;51.779
7430;-6.935;28.33;50.857
7440;-9.65;25.615;50.934
7450;-12.337;20.403;50.73
7460;-15.703;16.959;49.366
7470;-18.836;12.252;47.327
7480;-22.908;7.899;46.524
7490;-27.048;3.156;47.713
7500;-29.004;-5.632;47.542
7510;-31.277;-13.919;49.891
7520;-31.535;-22.8;49.994
7530;-31.931;-30.975;49.658
7540;-32.767;-37.686;46.917
7550;-33.444;-43.814;43.417
7560;-34.222;-53.378;39.487
7570;-34.815;-61.797;36.917
7580;-35.56;-71.423;32.314
7590;-32.601;-81.266;31.392
7600;-29.746;-85.05;30.731
7610;-24.903;-88.476;32.15
7620;-20.178;-91.491;33.294
7630;-16.432;-92.461;32.971
7640;-12.954;-89.03;31.168
7650;-11.025;-84.662;25.916
7660;-9.206;-78.334;21.223
7670;-8.186;-72.337;20.171
7680;-6.76;-65.659;20.239
7690;-6.694;-59.941;18.36
7700;-6.579;-48.342;16.721
7710;-6.545;-35.978;15.892
7720;-6.738;-24.094;16.103
7730;-5.966;-12.52;17.011
7740;-5.297;-3.866;16.079
7750;-2.941;4.022;16.72
7760;-0.585;9.19;15.152
7770;0.615;13.945;15.343
7780;1.843;17.139;16.134
7790;2.764;20.361;15.844
7800;3.623;21.983;14.701
7810;4.303;23.219;12.397
7820;5.846;22.455;9.804
7830;7.67;23.36;9.371
7840;7.061;25.105;9.13
7850;6.423;27.008;8.888
7860;2.847;31.632;8.323
7870;-1.247;36.145;7.957
7880;-6.241;42.574;7.953
7890;-10.657;46.33;9.891
7900;-12.349;51.923;11.709
7910;-14.572;55.945;13.167
7920;-14.476;61.298;16.905
7930;-14.455;66.419;20.011
7940;-13.154;68.527;26.037
7950;-11.923;66.262;31.719
7960;-10.919;58.607;33.48
7970;-9.625;51.839;33.763
7980;-9.261;41.291;33.445
7990;-9.069;33.523;34.043
8000;-9.574;24.313;32.48
8010;-10.223;17.495;30.852
8020;-9.592;11.476;27.299
8030;-8.484;6.779;24.826
8040;-7.971;3.477;23.116
8050;-8.31;2.407;21.086
8060;-8.657;1.654;20.996
8070;-11.741;3.981;19.386
8080;-15.052;6.659;17.132
8090;-17.404;10.978;13.759
8100;-20.183;15.793;11.023
8110;-18.946;19.488;8.488
8120;-17.771;23.763;6.081
8130;-15.166;22.877;3.354
8140;-12.367;21.302;0.797
8150;-12.328;15.487;-0.847
8160;-12.331;10.189;-1.651
8170;-13.614;6.731;-4.935
8180;-15.014;3.921;-7.419
8190;-16.912;8.552;-11.45
8200;-18.803;12.21;-16.64
8210;-19.84;16.228;-18.513
8220;-20.719;19.852;-20.706
8230;-18.637;23.797;-22.219
8240;-16.68;27.273;-24.812
8250;-14.444;30.949;-25.361
8260;-12.098;34.666;-25.19
8270;-10.498;38.823;-24.701
8280;-11.063;42.829;-25.332
8290;-11.491;46.434;-27.048
8300;-10.145;48.812;-28.444
8310;-8.923;50.71;-31.68
8320;-5.131;49.79;-33.499
8330;-1.698;49.179;-36.159
8340;2.046;45.629;-37.545
8350;5.713;45.919;-37.611
8360;7.617;45.285;-36.33
8370;9.761;47.345;-35.128
8380;10.946;51.699;-35.246
8390;11.917;53.919;-35.243
8400;14.168;57.713;-34.921
8410;16.219;63.132;-35.468
8420;18.792;66.188;-34.761
8430;21.668;61.425;-35.2
8440;24.501;52.705;-36.199
8450;27.154;44.261;-36.43
8460;30;41.04;-36.222
8470;32.632;36.899;-35.112
8480;34.406;35.985;-34.761
8490;36.083;35.201;-37.188
8500;35.857;40.338;-41.134
8510;35.775;45.543;-44.913
8520;35.57;45.789;-49.452
8530;39.116;46.152;-53.316
8540;42.566;43.314;-56.426
8550;45.411;41.477;-57.681
8560;48.119;39.24;-57.303
8570;47.543;37.037;-53.366
8580;46.817;34.474;-48.381
8590;46.448;31.581;-42.156
8600;46.259;26.807;-36.821
8610;46.91;21.509;-34.166
8620;47.651;17.011;-31.003
8630;45.792;11.63;-26.88
8640;44.167;8.53;-22.221
8650;42.022;5.422;-18.121
8660;40.077;-2.326;-16.924
8670;38.346;-9.28;-16.407
8680;36.815;-10.954;-14.244
8690;34.988;-12.05;-11.425
8700;33.194;-13.105;-10.286
8710;30.603;-14.222;-9.662
8720;27.88;-17.847;-6.639
8730;24.308;-20.528;-3.149
8740;20.694;-20.502;3.821
8750;19.037;-25.127;7.48
8760;17.659;-29.247;11.179
8770;16.557;-30.149;14.906
8780;15.397;-33.252;18.233
8790;14.361;-34.702;23.786
8800;12.575;-37.123;27.539
8810;10.582;-38.843;30.514
8820;9.37;-39.459;29.743
8830;7.861;-40.611;28.892
8840;6.086;-41.059;26.677
8850;4.317;-44.24;24.582
8860;1.069;-47.96;23.881
8870;-2.214;-55.152;22.021
8880;-4.097;-61.615;20.65
8890;-6;-67.644;17.999
8900;-7.975;-72.749;15.259
8910;-9.819;-79.534;14.96
8920;-12.058;-85.719;13.807
8930;-14.331;-90.103;10.974
8940;-17.175;-93.578;7.466
8950;-20.268;-94.212;6.011
8960;-22.923;-94.64;5.756
8970;-25.543;-90.548;3.39
8980;-27.386;-86.669;2.665
8990;-27.026;-87.07;0.939
9000;-26.825;-87.603;4.454
9010;-25.59;-88.175;7.844
9020;-24.301;-88.306;8.115
9030;-25.554;-84.117;8.31
9040;-26.712;-79.273;6.466
9050;-26.748;-71.709;6.612
