timepoints (min);16: frq7+.1;17: frq7+.2;18: frq7+.3;19: frq1-.1;;;20: frq7-.1;21: frq7-.2;22: frq7-.3;23: frq9+.2;24: frq9+.3;;25: frq10+.1;26: frq10+.3
2820;113.421;162.026;47.854;-30.029;;;131.521;-97.309;-98.043;-96.926;-67.677;;-29.72;53.899
2830;134.146;182.844;52.153;-41.745;;;161.121;-93.433;-92.006;-100.397;-74.487;;-43.934;44.583
2840;153.388;202.022;56.577;-53.502;;;189.516;-88.399;-79.807;-104.379;-80.139;;-55.768;34.888
2850;169.982;221.625;61.899;-64.993;;;214.437;-82.888;-67.934;-107.561;-85.09;;-67.556;25.425
2860;182.486;241.641;68.692;-74.804;;;238.593;-77.615;-56.188;-110.737;-88.07;;-77.457;19.063
2870;194.217;262.178;75.348;-82.843;;;262.426;-73.85;-45.321;-112.152;-92.411;;-86.775;12.116
2880;205.423;280.388;82.815;-90.964;;;284.012;-70.218;-35.003;-113.139;-95.792;;-96.014;3.971
2890;214.619;296.641;91.457;-97.692;;;304.301;-64.972;-23.723;-113.407;-99.432;;-103.422;-9.494
2900;225.123;308.295;100.519;-103.313;;;322.27;-59.897;-9.125;-113.895;-102.912;;-109.138;-21.91
2910;236.698;320.483;110.913;-108.87;;;338.903;-53.128;3.564;-112.423;-106.697;;-115.008;-34.986
2920;248.639;330.909;120.532;-113.204;;;354.263;-44.174;16.661;-110.897;-110.462;;-120.884;-45.942
2930;260.215;339.935;129.717;-116.68;;;368.578;-32.395;30.269;-110.29;-114.262;;-126.143;-55.185
2940;271.906;348.67;140.243;-120.225;;;382.095;-18.508;42.752;-109.634;-117.428;;-131.022;-65.385
2950;287.941;358.508;150.706;-124.066;;;392.909;-4.141;54.883;-108.419;-121.393;;-136.846;-72.825
2960;302.317;366.121;162.255;-128.468;;;395.531;10.334;65.578;-107.273;-124.546;;-142.943;-77.977
2970;319.386;373.308;173.473;-132.989;;;395.279;23.913;76.178;-105.487;-128.699;;-150.279;-82.406
2980;336.571;378.683;184.677;-138.171;;;394.619;37.128;87.468;-104.248;-133.17;;-158.269;-86.914
2990;351.554;384.495;196.857;-143.375;;;394.542;50.076;98.668;-104.85;-136.874;;-164.781;-91.797
3000;367.899;390.066;207.578;-148.542;;;392.997;65.354;112.832;-105.21;-140.299;;-170.207;-96.942
3010;380.206;395.185;218.637;-153.208;;;390.201;81.419;129.08;-104.69;-141.874;;-171.618;-101.528
3020;388.579;401.269;228.47;-158.277;;;378.186;97.953;145.015;-104.752;-143.97;;-171.021;-105.494
3030;396.509;408.91;237.139;-162.688;;;361.37;113.007;162.594;-105.374;-144.894;;-169.891;-109.921
3040;402.985;414.674;245.719;-166.665;;;343.622;126.836;180.888;-107.138;-145.477;;-167.188;-114.073
3050;407.127;419.257;253.343;-170.481;;;321.382;141.403;197.24;-108.542;-145.972;;-162.811;-116.628
